1018,1979,3004,4012,5028,6048,7025,8011,9045,10046,11083,12060,13012,14009,14960,15972,17009,18108,19119,20108,21065,22088,23083,24141,25174,26155,27173,28126,29145,30119
966,907,979,926,961,988,917,924,992,941,988,920,903,946,906,971,984,1028,962,935,885,973,935,1014,967,942,947,895,967,935
993,935,1011,969,999,1006,943,949,1013,986,1004,947,927,972,931,986,1003,1055,991,967,921,1004,954,1036,1009,972,985,931,984,947
992,931,1007,969,998,1006,943,950,1014,985,1006,947,927,974,929,984,1007,1058,989,967,923,1003,953,1037,1007,974,985,931,984,947
791,728,842,748,782,827,735,736,810,777,791,735,734,795,767,775,785,857,778,770,711,804,769,845,813,775,776,741,799,738
886,829,913,857,898,891,845,844,901,874,888,835,838,885,836,878,899,960,887,870,832,902,853,923,918,878,882,817,869,833
888,828,906,859,894,889,836,845,895,861,893,831,835,880,834,867,898,964,879,862,834,899,849,920,922,865,875,814,873,840
1018,961,1025,1008,1016,1020,977,986,1034,1001,1037,977,952,997,951,1012,1037,1099,1011,989,957,1023,995,1058,1033,981,1018,953,1019,974
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.94891945,0.943808533,0.955121951,0.918650794,0.945866142,0.968627451,0.938587513,0.937119675,0.959381044,0.94005994,0.952748312,0.941658137,0.948529412,0.94884654,0.952681388,0.959486166,0.948891032,0.935395814,0.951533136,0.945399393,0.92476489,0.951124145,0.939698492,0.958412098,0.936108422,0.960244648,0.930255403,0.939139559,0.948969578,0.959958932
0.975442043,0.972944849,0.986341463,0.961309524,0.983267717,0.98627451,0.965199591,0.962474645,0.979690522,0.985014985,0.968177435,0.969293756,0.973739496,0.974924774,0.978969506,0.9743083,0.967213115,0.959963603,0.980217606,0.977755308,0.962382445,0.981427175,0.95879397,0.979206049,0.976766699,0.990825688,0.967583497,0.976915005,0.965652601,0.972279261
0.974459725,0.968782518,0.982439024,0.961309524,0.982283465,0.98627451,0.965199591,0.963488844,0.98065764,0.984015984,0.970106075,0.969293756,0.973739496,0.976930792,0.976866456,0.972332016,0.971070395,0.962693358,0.978239367,0.977755308,0.964472309,0.980449658,0.957788945,0.980151229,0.974830591,0.992864424,0.967583497,0.976915005,0.965652601,0.972279261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.777013752,0.757544225,0.821463415,0.742063492,0.769685039,0.810784314,0.752302968,0.746450304,0.783365571,0.776223776,0.762777242,0.752302968,0.771008403,0.797392177,0.806519453,0.765810277,0.756991321,0.779799818,0.769535114,0.778564206,0.742946708,0.785923754,0.772864322,0.798676749,0.787028074,0.790010194,0.762278978,0.777544596,0.784102061,0.757700205
0.870333988,0.86264308,0.890731707,0.850198413,0.883858268,0.873529412,0.864892528,0.855983773,0.871373308,0.873126873,0.856316297,0.854657114,0.880252101,0.887662989,0.879074658,0.867588933,0.866923819,0.873521383,0.877349159,0.879676441,0.86938349,0.88172043,0.857286432,0.872400756,0.888673766,0.895005097,0.866404715,0.85729276,0.85279686,0.85523614
0.872298625,0.861602497,0.883902439,0.85218254,0.87992126,0.871568627,0.855680655,0.856997972,0.8655706,0.86013986,0.861137898,0.850562948,0.87710084,0.882647944,0.876971609,0.856719368,0.865959499,0.877161056,0.869436202,0.871587462,0.871473354,0.878787879,0.853266332,0.869565217,0.892545983,0.881753313,0.859528487,0.854144806,0.856722277,0.862422998